seconds,x,y
1165.0,1,62
1166.0,1,62
1167.0,1,62
1168.0,1,62
1169.0,1,62
1170.0,1,62
1171.0,1,62
1172.0,1,62
1173.0,1,62
1174.0,1,62
1175.0,1,62
1176.0,1,62
1177.0,1,62
1178.0,1,62
1179.0,1,62
1180.0,1,62
1181.0,1,62
1182.0,1,62
1183.0,1,62
1184.0,1,62
1185.0,1,61
1186.0,1,61
1187.0,1,62
1188.0,1,61
1189.0,1,61
1190.0,1,61
1191.0,1,61
1192.0,1,61
1193.0,1,60
1194.0,1,61
1195.0,1,61
1196.0,1,61
1197.0,1,59
1198.0,1,60
1199.0,1,60
1200.0,1,60
1201.0,0,62
1202.0,0,62
1203.0,1,59
1204.0,0,62
1205.0,1,59
1206.0,1,59
1207.0,0,62
1208.0,1,59
1209.0,1,60
1210.0,1,59
1211.0,1,59
1212.0,1,60
1213.0,1,60
1214.0,1,60
1215.0,1,60
1216.0,1,61
1217.0,1,60
1218.0,1,60
1219.0,1,60
1220.0,1,60
1221.0,1,60
1222.0,1,60
1223.0,1,60
1224.0,1,60
1225.0,1,61
1226.0,1,61
1227.0,1,60
1228.0,1,61
1229.0,1,62
1230.0,1,61
1231.0,1,61
1232.0,1,61
1233.0,1,61
1234.0,1,62
1235.0,1,62
1236.0,1,61
1237.0,1,61
1238.0,1,61
1239.0,1,61
1240.0,1,61
1241.0,1,62
1242.0,1,62
1243.0,1,62
1244.0,1,62
1245.0,1,62
1246.0,1,62
1247.0,1,62
1248.0,1,62
1249.0,1,62
1250.0,1,62
1251.0,1,62
1252.0,1,62
1253.0,1,62
1254.0,1,62
1255.0,1,62
1256.0,1,62
1257.0,1,62
1258.0,1,62
1259.0,1,62
1260.0,1,62
1261.0,1,62
1262.0,1,62
1263.0,1,62
1264.0,1,62
1265.0,1,63
1266.0,1,63
1267.0,1,63
1268.0,1,63
1269.0,1,63
1270.0,1,63
1271.0,1,63
1272.0,1,63
1273.0,1,63
1274.0,1,63
1275.0,1,63
1276.0,1,63
1277.0,1,62
1278.0,1,62
1279.0,1,63
1280.0,1,62
1281.0,1,62
1282.0,1,62
1283.0,1,62
1284.0,1,62
1285.0,1,62
1286.0,1,62
1287.0,1,62
1288.0,1,62
1289.0,1,62
1290.0,1,62
1291.0,1,62
1292.0,1,62
1293.0,1,62
1294.0,1,62
1295.0,1,62
1296.0,1,62
1297.0,1,62
1298.0,1,62
1299.0,1,62
1300.0,1,62
1301.0,1,62
1302.0,1,62
1303.0,1,62
